_ID (Object),Accession Number,Temp ID,Artist Sort Name,Display Artist,Display Title,Display Medium,Display Dimensions,Display Create Date,City,County,Feature Description,TGN ID,Geoname,Historic place,Neighborhood,Direction,Guess,Extent,State Province,Object Type,Media Filepath ,EMA web address
124219,,PST0828,"Tiktinsky, Michael",Michael Tiktinsky,"Miner's Pick, Amador County, California",digital permanent ink print,12 1/2 in. x 14 in. (31.75 cm x 35.56 cm),2003,,Amador,Amador County,1002146,,,,,,,California,photograph,I:\Images\04_Web\PST\PST0828.jpg,
116871,,T2004.003,"Fricker, Geoff",Geoff Fricker,"Western Canal Water District Dam, Butte Creek, California",gelatin silver print,27 1/2 in. x 35 in. (69.85 cm x 88.9 cm),1993,,Butte,Butte County,1002218,,,,,,,California,photograph,,
136860,2011.103,PH10.171,"Light, Ken",Ken Light,"Fresno County, California",gelatin silver print,15 1/4 in. x 15 1/2 in. (38.74 cm x 39.37 cm),2007,,Fresno,Fresno County,1002392,,,,,,,California,photograph,I:\Images\04_Web\2011\2011.103_01_b04.jpg,http://www.sfmoma.org/explore/collection/artwork/136860
9112,93.192,,"Bush, Andrew",Andrew Bush,"Man Traveling Southwest at 67 mph on Interstate 5 Outside of Lost Hills, CA",chromogenic print,30 in. x 40 in. (76.2 cm x 101.6 cm),1992,,Kern,Kern County,1002545,,,,,,,California,photograph,I:\Images\04_Web\1993\93.192.jpg,
150609,2014.91,PH13.186,"Jones, Pirkle",Pirkle Jones,"Untitled [Mother picking cotton with her child, Kern County, California]",gelatin silver print,14 in. x 11 in. (35.56 cm x 27.94 cm),1957; printed 1961,,Kern,Kern County,1002545,,,Kern County,,,,California,photograph,I:\Images\04_Web\PH\PH13.186_01_B04.jpg,
152948,,PH14.026,"Lange, Dorothea",Dorothea Lange,"Potato Picker's Roadside Bed, Kern County",gelatin silver print,7 5/16  x 7 5/8 in. (18.57  x 19.37 cm),1935,,Kern,Kern County,1002545,,,,,,,California,photograph,I:\Images\04_Web\PH\ph14.026.jpg,
12478,71.71.13,,"Lange, Dorothea",Dorothea Lange,Texas Farmer to Migratory Worker in California (Kern County),gelatin silver print,3 3/16  x 4 in. (8.1  x 10.16 cm),"1938, printed 1971",,Kern,Kern County,1002545,,Kern County,,,,,California,photograph,I:\Images\04_Web\1971\71.71.13_01_s04.jpg,http://www.sfmoma.org/explore/collection/artwork/12478
103817,2000.653,PH00.386,"Lange, Dorothea",Dorothea Lange,"Gas Station, Kern County, California",gelatin silver print,7 3/4 in. x 7 1/2 in. (19.69 cm x 19.05 cm),1938,,Kern,Kern County,1002545,,Kern County,,,,,California,photograph,I:\Images\04_Web\2000\2000.653_01_b04.jpg,http://www.sfmoma.org/explore/collection/artwork/103817
134689,,UCPH09.006,"Lange, Dorothea",Dorothea Lange,"Kern County, California",gelatin silver print,[dimensions in research],"1938, printed 1990s",,Kern,Kern County,1002545,,Kern County,,,,,California,photograph,,
135892,2010.129,PH10.073,"Watkins, Carleton E.",Carleton E. Watkins,"Bellevue Ranch, Kern County, California",albumen print,7 in. x 8 5/8 in. (17.78 cm x 21.91 cm),1888,,Kern,Kern County,1002545,,Bellevue Ranch,,,,,California,photograph,I:\Images\04_Web\PH\PH10.073_01_b04.jpg,http://www.sfmoma.org/explore/collection/artwork/135892
144492,2013.12,PH12.029,"Goodman, Tim",Tim Goodman,Madera County No. 3,gelatin silver print,15 1/4 in. x 15 in. (38.74 cm x 38.1 cm),2011,,Madera,Madera County,1002621,,,Madera County,,,,California,photograph,I:\Images\04_Web\PH\PH12.029_01_b02.jpg,http://www.sfmoma.org/explore/collection/artwork/144492
14563,85.301,,"Weston, Brett",Brett Weston,Untitled (Monterey Pines),gelatin silver print,,1962,Monterey,Monterey,Monterey County,1002684,,,,,,,California,photograph,I:\Images\04_Web\1985\85.301.jpg,
14655,85.779,,"Weston, Brett",Brett Weston,Untitled (Monterey Coast),gelatin silver print,,1960,Monterey,Monterey,Monterey County,1002684,,,,,,,California,photograph,I:\Images\04_Web\1985\85.779.jpg,
14709,62.117,,"Weston, Edward",Edward Weston,Eroded Rock - Monterey Coast,gelatin silver print,9 9/16 in. x 7 7/16 in. (24.29 cm x 18.89 cm),1931,,,Monterey County,1002684,,Monterey Coast,,,,,California,photograph,I:\Images\04_Web\1962\62.1170_01_b04.jpg,http://www.sfmoma.org/explore/collection/artwork/14709
14715,62.1176,62.1176,"Weston, Edward",Edward Weston,"Tomato Field, Monterey Coast",gelatin silver print,7 1/2 in. x 9 1/2 in. (19.05 cm x 24.13 cm),"1937, printed later?",,,Monterey County,1002684,,Monterey Coast,,,,,California,photograph,I:\Images\04_Web\1962\62.1176_01_s04.jpg,http://www.sfmoma.org/explore/collection/artwork/14715
104429,2001.357,PH01.031,"Adams, Robert",Robert Adams,"San Bernardino County, California",gelatin silver print,11 in. x 14 in. (27.94 cm x 35.56 cm),1982,San Bernadino,San Bernardino,San Bernardino County,1002857,,,,,,"City is spelled wrong. Also, city listed as San Bernadino (sp) but title states San Bernardino County only.",California,photograph,I:\Images\04_Web\2001\2001.357.jpg,
104437,2001.36,PH01.039,"Adams, Robert",Robert Adams,"Santa Ana Wash, San Bernardino County, California",gelatin silver print,14 in. x 11 in. (35.56 cm x 27.94 cm),ca. 1998,,San Bernardino,San Bernardino County,1002857,,,San Bernadino County,,,,California,photograph,I:\Images\04_Web\2001\2001.360.jpg,
104527,2001.329,PH01.055,"Adams, Robert",Robert Adams,Above San Bernardino,gelatin silver print,9 1/2 in. x 9 in. (24.13 cm x 22.86 cm),1982,,San Bernardino,San Bernardino County,1002857,,,San Bernadino County,,,,California,photograph,I:\Images\04_Web\2001\2001.328_01_g04.jpg,http://www.sfmoma.org/explore/collection/artwork/104527
104591,2001.326,PH01.082,"Adams, Robert",Robert Adams,"Eucalyptus Along Interstate 10, San Bernardino County, California",gelatin silver print,9 in. x 11 1/4 in. (22.86 cm x 28.58 cm),1978,,San Bernardino,San Bernardino County,1002857,,,,,,,California,photograph,I:\Images\04_Web\2001\2001.326.jpg,http://www.sfmoma.org/explore/collection/artwork/104591
134720,2009.256,PH09.266,"Adams, Robert",Robert Adams,"Eucalyptus next to Interestate 10, San Bernardino County, California",gelatin silver print,11 in. x 14 in. (27.94 cm x 35.56 cm),1979,,San Bernardino,San Bernardino County,1002857,,,,,,,California,photograph,,
146696,2012.246,PH12.145,"Ruwedel, Mark",Mark Ruwedel,"Shoe Tree #4 (San Bernardino County, California)",chromogenic print,8 in. x 10 in. (20.32 cm x 25.4 cm),2004,,San Bernardino,San Bernardino County,1002857,,,,,,,California,photograph,"S:\Photography\Accessions\Fauci Ruwedel\Additional donations\Shoe Tree 4 San Bernadina County CA, 2004.jpg",http://www.sfmoma.org/explore/collection/artwork/146696
7300,93.36,,"Bush, Andrew",Andrew Bush,"Woman Traveling South at 68 mph on Interstate 5 Near San Diego, California on a",chromogenic print,29 7/8 in. x 39 1/4 in. (75.88 cm x 99.7 cm),1992,,San Diego,San Diego County,1002858,,,,,,,California,photograph,,
14789,73.60.2,,"White, Minor",Minor White,"Devil's Slide, San Mateo County, California",gelatin silver print,6 11/16 in. x 8 3/16 in. (16.99 cm x 20.8 cm),1948,San Mateo,San Mateo,San Mateo County,1002864,,,,,,,California,photograph,I:\Images\04_Web\1973\73.60.2.jpg,http://www.sfmoma.org/explore/collection/artwork/14789
103070,2000.62,PH2000260,"White, Minor",Minor White,"Devil's Slide, San Mateo County, California",gelatin silver print,7 3/8 in. x 9 7/8 in. (18.73 cm x 25.08 cm),1948,San Mateo,San Mateo,San Mateo County,1002864,,,,,,,California,photograph,I:\Images\04_Web\2000\2000.620_01_s04.jpg,http://www.sfmoma.org/explore/collection/artwork/103070
15060,73.33.1,,"Worth, Don",Don Worth,"Self-Portrait, San Mateo County, Calif 1969",gelatin silver print,,1969,San Mateo,San Mateo,San Mateo County,1002864,,,,,,,California,photograph,,
135077,2010.81,PH10.035,"Adam, Philip",Philip Adam,"New Construction, Solano County",gelatin silver print,5 1/8 in. x 8 1/2 in. (13.02 cm x 21.59 cm),1997,,Solano,Solano County,1002901,,,Solano County,,,,California,photograph,I:\Images\04_Web\2010\2010.81_01_b02.jpg,
14697,62.434.3,,"Weston, Edward",Edward Weston,"Hill and Poles, Solano County",gelatin silver print,7 1/2 in. x 9 1/2 in. (19.05 cm x 24.13 cm),1937; printed later,,Solano,Solano County,1002901,,Solano County,,,,,California,photograph,I:\Images\04_Web\1962\62.434.B.jpg,
136863,2011.107,PH10.174,"Light, Ken",Ken Light,"Land, Stanislaus County, California",gelatin silver print,15 in. x 15 in. (38.1 cm x 38.1 cm),2008,,Stanislaus,Stanislaus County,1002915,,,,,,,California,photograph,I:\Images\04_Web\2011\2011.107_01_b04.jpg,http://www.sfmoma.org/explore/collection/artwork/136863
9173,93.394,,"Garnett, William A.",William A. Garnett,"Contour Graded Hills, Ventura County, California",gelatin silver print,10 15/16 in. x 13 15/16 in. (27.78 cm x 35.4 cm),1953,,Ventura,Ventura County,1002972,,,,,,,California,photograph,I:\Images\04_Web\1993\93.394_01_b02.jpg,http://www.sfmoma.org/explore/collection/artwork/9173
10671,81.124,,"Bruguière, Francis Joseph",Francis Joseph Bruguière,Panama-Pacific Exposition,gelatin silver print,13 1/2 in. x 10 5/8 in. (34.29 cm x 26.99 cm),1915,San Francisco,San Francisco,Treasure Island,1009506,,,,,Feature: Description,"Although Exhibition was on Treasure Island, I can't verify subject without image",California,photograph,I:\Images\04_Web\1981\81.124.jpg,
